company_name,province,location,size,nature,business,page_num
中山市安逸猿服饰有限公司,广东,广东中山,100 - 499人,私营．民营企业,运动休闲,23
广州意筑服饰有限公司,广东,广东广州,50 - 99人,私营．民营企业,男装,23
北京天羽莱品牌科技有限公司,北京,北京,100 - 499人,外商独资．外企办事处,羽绒服,24
深圳市名仕度服饰有限公司,广东,广东深圳,100 - 499人,中外合营(合资．合作),"正装,职业装,其他,男装,女装",24
如东知品服饰有限公司,江苏,江苏南通,100 - 499人,港台澳企业,"男装,女装,童装,饰品,毛衫针织",24
上海翊嘉时装有限公司,上海,上海,100 - 499人,私营．民营企业,女装,24
上海芊润服饰有限公司,上海,上海,100 - 499人,外商独资．外企办事处,运动休闲,24
苏州简单人衬衫有限公司,江苏,江苏苏州,50 - 99人,私营．民营企业,男装,24
深圳市梵思诺时尚服饰有限公司,广东,广东深圳,500 - 999人,私营．民营企业,"男装,女装,正装,运动休闲,毛衫针织",24
广州圣地米兰服饰有限公司,广东,广东广州,100 - 499人,私营．民营企业,男装,24
浙江路易诗兰服饰股份有限公司,浙江,浙江温州,1000人以上,私营．民营企业,男装,24
深圳市桦远服装有限公司,广东,广东深圳,50 - 99人,外商独资．外企办事处,女装,24
四川俊乔针织服装有限公司,四川,四川广安,100 - 499人,私营．民营企业,毛衫针织,25
广东泰迪熊投资有限公司,广东,广东广州,100 - 499人,私营．民营企业,童装,25
杭州汝尚贸易有限公司,浙江,浙江杭州,100 - 499人,私营．民营企业,女装,25
湖州恩硕服饰有限公司,浙江,浙江湖州,100 - 499人,私营．民营企业,童装,25
浙江老爷车服饰有限公司,浙江,浙江嘉兴,500 - 999人,私营．民营企业,男装,25
桐乡市共创制衣有限公司,浙江,浙江嘉兴,50 - 99人,私营．民营企业,"女装, 毛衫针织",25
义乌市蕾戈服装辅料有限公司,浙江,浙江金华,1 - 49人,私营．民营企业,"女装, 内衣, 面辅料",25
嘉兴羱羊服饰有限公司,浙江,浙江嘉兴,100 - 499人,私营．民营企业,"毛衫针织,其他",25
广州紫驰服装有限公司,广东,广东广州,1 - 49人,外商独资．外企办事处,"男装,女装,童装,牛仔,面辅料",25
杭州徐琳培炜服饰有限公司,浙江,浙江杭州,50 - 99人,私营．民营企业,女装,25
